"ISIN","Company","Country"
"KR7086790003","Hana Financial Group Inc","Korea; Republic (S. Korea)"
"TW0002801008","Chang Hwa Commercial Bank Ltd","Taiwan"
"CNE1000000R4","China Citic Bank Corp Ltd","China"
"TW0002892007","First Financial Holding Co Ltd","Taiwan"
"PHY0967S1694","Bank of the Philippine Islands","Philippines"
"TW0002887007","Taishin Financial Holding Co Ltd","Taiwan"
"TW0002890001","Sinopac Financial Holdings Co Ltd","Taiwan"
"TW0002834009","Taiwan Business Bank","Taiwan"
"KR7055550008","Shinhan Financial Group Co Ltd","Korea; Republic (S. Korea)"
"CNE000001P37","Industrial and Commercial Bank of China Ltd","China"
"KR7024110009","Industrial Bank of Korea","Korea; Republic (S. Korea)"
"TH0023010000","Bank of Ayudhya PCL","Thailand"
"KR7139130009","DGB Financial Group","Korea; Republic (S. Korea)"
"INE001A01036","Housing Development Finance Corporation Ltd","India"
"TW0002885001","Yuanta Financial Holdings Co Ltd","Taiwan"
"HK0165000859","China Everbright Ltd","Hong Kong"
"MYL1015OO006","AMMB Holdings Bhd","Malaysia"
"INE237A01028","Kotak Mahindra Bank Ltd","India"
"INE013A01015","Reliance Capital Ltd","India"
"INE043D01016","IDFC Ltd","India"
"KR7029780004","Samsung Card Co Ltd","Korea; Republic (S. Korea)"
"KR7071050009","Korea Investment Holdings Co Ltd","Korea; Republic (S. Korea)"
"KR7016360000","Samsung Securities Co Ltd","Korea; Republic (S. Korea)"
"KR7006800007","Mirae Asset Daewoo Co Ltd","Korea; Republic (S. Korea)"
"CNE000001R84","Ping An Insurance Group Co of China Ltd","China"
"TW0002888005","Shin Kong Financial Holding Co Ltd","Taiwan"
"CNE000001Q93","China Life Insurance Co Ltd","China"
"CNE100000593","PICC Property and Casualty Co Ltd","China"
"KR7000810002","Samsung Fire & Marine Insurance Co Ltd","Korea; Republic (S. Korea)"
"KR7005830005","DB Insurance Co Ltd","Korea; Republic (S. Korea)"
"HK0000055878","China Taiping Insurance Holdings Co Ltd","Hong Kong"
"KR7035420009","Naver Corp","Korea; Republic (S. Korea)"
"INE467B01029","Tata Consultancy Services Ltd","India"
"TW0002356003","Inventec Corp","Taiwan"
"TW0002354008","Foxconn Technology Co Ltd","Taiwan"
"TW0002395001","Advantech Co Ltd","Taiwan"
"TW0002382009","Quanta Computer Inc","Taiwan"
"TW0003231007","Wistron Corp","Taiwan"
"TW0002324001","Compal Electronics Inc","Taiwan"
"TW0002474004","Catcher Technology Co Ltd","Taiwan"
"TW0002301009","Lite-On Technology Corp","Taiwan"
"TW0002392008","Cheng Uei Precision Industry Co Ltd","Taiwan"
"TW0006244007","Motech Industries Inc","Taiwan"
"TW0008046004","Nan Ya Printed Circuit Board Corp","Taiwan"
"TW0006116007","Hannstar Display Corp","Taiwan"
"TW0003044004","Tripod Technology Corp","Taiwan"
"KR7009150004","Samsung Electro-Mechanics Co Ltd","Korea; Republic (S. Korea)"
"TW0002308004","Delta Electronics Inc","Taiwan"
"KR7034220004","LG Display Co Ltd","Korea; Republic (S. Korea)"
"KR7006400006","Samsung SDI Co Ltd","Korea; Republic (S. Korea)"
"TW0003037008","Unimicron Technology Corp","Taiwan"
"TW0002409000","AUO Corp","Taiwan"
"TW0003189007","Kinsus Interconnect Technology Corp","Taiwan"
"TW0002393006","Everlight Electronics Co Ltd","Taiwan"
"TW0002347002","Synnex Technology International Corp","Taiwan"
"TW0005347009","Vanguard International Semiconductor Corp","Taiwan"
"TW0003034005","Novatek Microelectronics Corp","Taiwan"
"TW0002454006","MediaTek Inc","Taiwan"
"TW0002379005","Realtek Semiconductor Corp","Taiwan"
"TW0006239007","Powertech Technology Inc","Taiwan"
"TW0002337003","Macronix International Co Ltd","Taiwan"
"TW0002303005","United Microelectronics Corp","Taiwan"
"TW0003714002","Ennostar Inc","Taiwan"
"TW0002451002","Transcend Information Inc","Taiwan"
"TW0003711008","ASE Technology Holding Co Ltd","Taiwan"
"TW0005483002","Sino-American Silicon Products Inc","Taiwan"
"KR7000660001","SK Hynix Inc","Korea; Republic (S. Korea)"
"ID1000097405","Indosat Tbk PT","Indonesia"
"ID1000129000","Telekomunikasi Indonesia (Persero) Tbk PT","Indonesia"
"CNE1000002G3","China Communications Services Corp Ltd","China"
"CNE1000002V2","China Telecom Corp Ltd","China"
"MYL6947OO005","CelcomDigi Bhd","Malaysia"
"MYL6888OO001","Axiata Group Bhd","Malaysia"
"KR7032640005","LG Uplus Corp","Korea; Republic (S. Korea)"
"PHY7072Q1032","PLDT Inc","Philippines"
"INE330H01018","Reliance Communications Ltd","India"
"TW0004904008","Far EasTone Telecommunications Co Ltd","Taiwan"
"TW0003045001","Taiwan Mobile Co Ltd","Taiwan"
"TH0268010Z03","Advanced Info Service PCL","Thailand"
"INE245A01021","Tata Power Company Ltd","India"
"MYL5347OO009","Tenaga Nasional Bhd","Malaysia"
"INE036A01016","Reliance Infrastructure Ltd","India"
"PHY5764J1483","Manila Electric Co","Philippines"
"MYL6033OO004","Petronas Gas Bhd","Malaysia"
"ID1000111602","Perusahaan Gas Negara Tbk PT","Indonesia"
"INE129A01019","GAIL (India) Ltd","India"
"KR7036460004","Korea Gas Corp","Korea; Republic (S. Korea)"
"MYL4677OO000","YTL Corporation Bhd","Malaysia"
"HK0270001396","Guangdong Investment Ltd","Hong Kong"
"MYL6742OO000","YTL Power International Bhd","Malaysia"
"CNE000001NN0","Air China Ltd","China"
"TW0002610003","China Airlines Ltd","Taiwan"
"TW0002618006","Eva Airways Corp","Taiwan"
"KR7003490000","Korean Air Lines Co Ltd","Korea; Republic (S. Korea)"
"CNE000001FG0","China Southern Airlines Co Ltd","China"
"CNE100000221","Beijing Capital International Airport Co Ltd","China"
"CNE0000016S0","Jiangsu Expressway Co Ltd","China"
"CNE1000004S4","Zhejiang Expressway Co Ltd","China"
"BMG2442N1048","COSCO SHIPPING Ports Ltd","Hong Kong"
"PHY411571011","International Container Terminal Services Inc","Philippines"
"HK0144000764","China Merchants Port Holdings Co Ltd","Hong Kong"
"TW0002615002","Wan Hai Lines Ltd","Taiwan"
"CNE000001BD6","COSCO Shipping Energy Transportation Co Ltd","China"
"TW0002609005","Yang Ming Marine Transport Corp","Taiwan"
"MYL3816OO005","MISC Bhd","Malaysia"
"TW0002606001","U-Ming Marine Transport Corp","Taiwan"
"CNE1000008F2","COSCO SHIPPING Development Co Ltd","China"
"KR7028670008","Pan Ocean Co Ltd","Korea; Republic (S. Korea)"
"CNE100000601","COSCO SHIPPING Holdings Co Ltd","China"
"TW0002603008","Evergreen Marine Corp Taiwan Ltd","Taiwan"
"INE733E01010","NTPC Ltd","India"
"CNE000001Q02","Datang International Power Generation Co Ltd","China"
"CNE000001998","Huaneng Power International Inc","China"
"HK0836012952","China Resources Power Holdings Co Ltd","Hong Kong"
"ID1000094006","Bukit Asam Tbk PT","Indonesia"
"CNE100000957","China Coal Energy Co Ltd","China"
"CNE100000767","China Shenhua Energy Co Ltd","China"
"ID1000068703","Bumi Resources Tbk PT","Indonesia"
"CNE000000SK7","Inner Mongolia Yitai Coal Co Ltd","China"
"CNE000000WV6","Yankuang Energy Group Co Ltd","China"
"TH0148A10Z06","Banpu PCL","Thailand"
"KYG810431042","Shimao Group Holdings Ltd","Hong Kong"
"CNE0000000T2","China Vanke Co Ltd","China"
"HK3377040226","Sino-Ocean Group Holding Ltd","China"
"HK0123000694","Yuexiu Property Co Ltd","Unable to resolve all requested identifiers."
"CNE100000569","Guangzhou R&F Properties Co Ltd","China"
"MYL8664OO004","S P Setia Bhd","Malaysia"
"KYG826001003","Soho China Ltd","China"
"INE271C01023","DLF Ltd","India"
"KYG011981035","Agile Group Holdings Ltd","China"
"TW0005522007","Farglory Land Development Co Ltd","Taiwan"
"KYG2108Y1052","China Resources Land Ltd","Hong Kong"
"INE694A01020","Unitech Ltd","India"
"HK0688002218","China Overseas Land & Investment Ltd","Hong Kong"
"PHY0488F1004","Ayala Land Inc","Philippines"
"KYG245241032","Country Garden Holdings Co Ltd","China"
"PHY8076N1120","SM Prime Holdings Inc","Philippines"
"KR7068270008","Celltrion Inc","Korea; Republic (S. Korea)"
"KR7000100008","Yuhan Corp","Korea; Republic (S. Korea)"
"KR7012750006","S1 Corp","Korea; Republic (S. Korea)"
"KR7036570000","NCSOFT Corp","Korea; Republic (S. Korea)"
"TW0006121007","Simplo Technology Co Ltd","Taiwan"
"TW0002103009","TSRC Corp","Taiwan"
"TW0002707007","Formosa International Hotels Corp","Taiwan"
"TW0006005002","Capital Securities Corp","Taiwan"
"TW0002362001","Clevo Co","Taiwan"
"TW0003702007","WPG Holdings Ltd","Taiwan"
"TW0002915006","Ruentex Industries Ltd","Taiwan"
"TW0009921007","Giant Manufacturing Co Ltd","Taiwan"
"TW0002385002","Chicony Electronics Co Ltd","Taiwan"
"TW0008299009","Phison Electronics Corp","Taiwan"
"CNE100000CP9","CRRC Corp Ltd","China"
"HK0817039453","China Jinmao Holdings Group Ltd","Hong Kong"
"KYG9431R1039","Want Want China Holdings Ltd","China"
"CNE0000009Y3","Tsingtao Brewery Co Ltd","China"
"CNE100000171","Shandong Weigao Group Medical Polymer Co Ltd","China"
"CNE1000000D4","Weichai Power Co Ltd","China"
"BMG211591018","China Yurun Food Group Ltd","China"
"BMG4639H1227","Huabao International Holdings Ltd","Hong Kong"
"INE669E01016","Vodafone Idea Ltd","India"
"INE917I01010","Bajaj Auto Ltd","India"
"INE752E01010","Power Grid Corporation of India Ltd","India"
"INE628A01036","UPL Ltd","India"
"INE205A01025","Vedanta Ltd","India"
"JP3811000003","Fujikura Ltd","Japan"
"SG1U76934819","Yangzijiang Shipbuilding Holdings Ltd","China"
"INE423A01024","Adani Enterprises Ltd","India"
"ID1000111305","Adaro Energy Tbk PT","Indonesia"
"KYG040111059","ANTA Sports Products Ltd","China"
"ID1000096605","Bank Negara Indonesia (Persero) Tbk PT","Indonesia"
"CNE1000010M4","BBMG Corp","China"
"MYL3395OO000","Berjaya Corporation Bhd","Malaysia"
"TH0101A10Z01","Charoen Pokphand Foods PCL","Thailand"
"CNE100000HD4","China Longyuan Power Group Corp Ltd","China"
"CNE0000015Y0","China Minsheng Banking Corp Ltd","China"
"CNE1000008M8","China Pacific Insurance Group Co Ltd","China"
"TW0008069006","E Ink Holdings Inc","Taiwan"
"HK0639031506","Shougang Fushan Resources Group Ltd","Hong Kong"
"KYG3777B1032","Geely Automobile Holdings Ltd","Hong Kong"
"KR7086280005","Hyundai Glovis Co Ltd","Korea; Republic (S. Korea)"
"KYG3958R1092","Golden Eagle Retail Group Ltd","China"
"KYG4100M1050","Greentown China Holdings Ltd","China"
"ID1000068604","Gudang Garam Tbk PT","Indonesia"
"ID1000108509","Indo Tambangraya Megah Tbk PT","Indonesia"
"KR7088350004","Hanwha Life Insurance Co Ltd","Korea; Republic (S. Korea)"
"KR7010120004","LS Electric Co Ltd","Korea; Republic (S. Korea)"
"KR7011070000","LG Innotek Co Ltd","Korea; Republic (S. Korea)"
"KYG5635P1090","Longfor Group Holdings Ltd","China"
"MYL6012OO008","Maxis Bhd","Malaysia"
"CNE100000FX6","Metallurgical Corporation of China Ltd","China"
"TW0004938006","Pegatron Corp","Taiwan"
"HK0119000674","Poly Property Group Co Ltd","Hong Kong"
"TW0009945006","Ruentex Development Co Ltd","Taiwan"
"INE020B01018","REC Ltd","India"
"KR7032830002","Samsung Life Insurance Co Ltd","Korea; Republic (S. Korea)"
"KR7046890000","Seoul Semiconductor Co Ltd","Korea; Republic (S. Korea)"
"CNE100000FN7","SINOPHARM GROUP CO LTD","China"
"KR7034730002","SK Holdings Co Ltd","Korea; Republic (S. Korea)"
"KYG8020E1199","Semiconductor Manufacturing International Corp","China"
"INE040H01021","Suzlon Energy Ltd","India"
"KYG3066L1014","ENN Energy Holdings Ltd","China"
"CNE1000004X4","Zhuzhou CRRC Times Electric Co Ltd","China"
"TH0221B10Z05","BTS Group Holdings PCL","Thailand"
"AU000000ALQ6","ALS Ltd","Australia"
"PHY0001Z1040","Aboitiz Equity Ventures Inc","Philippines"
"PHY0005M1090","Aboitiz Power Corp","Philippines"
"CNE100000RJ0","Agricultural Bank of China Ltd","China"
"PHY003341054","Alliance Global Group Inc","Philippines"
"INE021A01026","Asian Paints Ltd","India"
"CNE1000001Y8","AviChina Industry & Technology Co Ltd","China"
"INE084A01016","Bank of India Ltd","India"
"KYG126521064","Bosideng International Holdings Ltd","Hong Kong"
"BMG1368B1028","Brilliance China Automotive Holdings Ltd","Hong Kong"
"KR7138930003","BNK Financial Group Inc","Korea; Republic (S. Korea)"
"INE476A01014","Canara Bank Ltd","India"
"ID1000117708","Charoen Pokphand Indonesia Tbk PT","Indonesia"
"BMG2109G1033","China Gas Holdings Ltd","Hong Kong"
"TW0001314003","China Petrochemical Development Corp","Taiwan"
"KYG2113L1068","China Resources Cement Holdings Ltd","Hong Kong"
"KYG2116D1198","China Huarong Energy Co Ltd","Hong Kong"
"KYG2116M1015","China Shanshui Cement Group Ltd","China"
"KYG216771363","China State Construction International Holdings Ltd","Hong Kong"
"CNE100003NZ9","Chongqing Rural Commercial Bank Co Ltd","China"
"INE522F01014","Coal India Ltd","India"
"CNE0000002R2","CSG Holding Co Ltd","China"
"KYG2816P1072","Dongyue Group Ltd","China"
"KYG2119W1069","China Evergrande Group","China"
"KYG3774X1088","GCL-Poly Energy Holdings Ltd","Hong Kong"
"CNE1000018V8","Great Wall Motor Co Ltd","China"
"CNE100001NQ2","Guangzhou Automobile Group Co Ltd","China"
"KYG450481083","Hengdeli Holdings Ltd","Hong Kong"
"TW0002542008","Highwealth Construction Corp","Taiwan"
"TW0002049004","Hiwin Technologies Corp","Taiwan"
"KR7011200003","HMM Co Ltd","Korea; Republic (S. Korea)"
"KR7011210002","Hyundai Wia Corp","Korea; Republic (S. Korea)"
"TH1027010004","Indorama Ventures PCL","Thailand"
"US01609W1027","Alibaba Group Holding Ltd","China"
"ID1000125107","Kalbe Farma Tbk PT","Indonesia"
"KR7011780004","Kumho Petro Chemical Co Ltd","Korea; Republic (S. Korea)"
"INE115A01026","LIC Housing Finance Ltd","India"
"KYG5636C1078","Lonking Holdings Ltd","China"
"INE326A01037","Lupin Ltd","India"
"MYL5014OO005","Malaysia Airports Holdings Bhd","Malaysia"
"MYL5186OO001","Malaysia Marine and Heavy Engineering Holdings Bhd","Malaysia"
"KR7060980000","Halla Holdings Corp","Korea; Republic (S. Korea)"
"HK1208013172","MMG Ltd","Australia"
"INE742F01042","Adani Ports and Special Economic Zone Ltd","India"
"TW0002101003","Nankang Rubber Tire Corp Ltd","Taiwan"
"TH1074010006","PTT Global Chemical PCL","Thailand"
"INE614G01033","Reliance Power Ltd","India"
"KYG781631059","Sany Heavy Equipment International Holdings Company Ltd","China"
"INE721A01013","Shriram Finance Ltd","India"
"BMG8162K1137","Sihuan Pharmaceutical Holdings Group Ltd","China"
"INE280A01028","Titan Company Ltd","India"
"KYG898431096","TPK Holding Co Ltd","Taiwan"
"MYL5148OO001","UEM Sunrise Bhd","Malaysia"
"ID1000102502","XL Axiata Tbk PT","Indonesia"
"CNE1000004R6","Zhaojin Mining Industry Co Ltd","China"
"CNE000001527","Zoomlion Heavy Industry Science and Technology Co Ltd","China"
"TW0003481008","Innolux Corp","Taiwan"
"JP3783420007","Hikari Tsushin Inc","Japan"
"KYG3472Y1017","FIH Mobile Ltd","Taiwan"
"CNE000001568","Yantai Changyu Pioneer Wine Co Ltd","China"
"TH0068010Z07","TMB Bank PCL","Thailand"
"JP3449020001","Taiheiyo Cement Corp","Japan"
"IE00B1RR8406","Smurfit Kappa Group PLC","Ireland; Republic of"
"INE117A01022","ABB India Ltd","India"
"TH0765010Z08","Airports of Thailand PCL","Thailand"
"TH0481B10Z00","Central Pattana PCL","Thailand"
"INE140A01024","Piramal Enterprises Ltd","India"
"JP3360800001","Hulic Co Ltd","Japan"
"KYG607441022","MGM China Holdings Ltd","Macau"
"JP3758190007","NEXON Co Ltd","Japan"
"AU000000WHC8","Whitehaven Coal Ltd","Australia"
"KYG014081064","Airtac International Group","China"
"INE028A01039","Bank of Baroda Ltd","India"
"INE397D01024","Bharti Airtel Ltd","India"
"MYL5210OO009","Bumi Armada Bhd","Malaysia"
"BMG2113B1081","China Resources Gas Group Ltd","Hong Kong"
"KYG215A81084","China ZhengTong Auto Services Holdings Ltd","China"
"CNE000001DB6","CITIC Securities Co Ltd","China"
"KR7001040005","CJ Corp","Korea; Republic (S. Korea)"
"TW0009933002","CTCI Corp","Taiwan"
"KYG2830J1031","Daphne International Holdings Ltd","China"
"PHY2088F1004","DMCI Holdings Inc","Philippines"
"HK0000077468","Far East Horizon Ltd","Hong Kong"
"INE102D01028","Godrej Consumer Products Ltd","India"
"TW0002207008","Hotai Motor Co Ltd","Taiwan"
"KR7001450006","Hyundai Marine & Fire Insurance Co Ltd","Korea; Republic (S. Korea)"
"ID1000108103","Jasa Marga (Persero) Tbk PT","Indonesia"
"KR7047810007","Korea Aerospace Industries Ltd","Korea; Republic (S. Korea)"
"KR7001800002","ORION Holdings Corp","Korea; Republic (S. Korea)"
"INE134E01011","Power Finance Corporation Ltd","India"
"TW0006176001","Radiant Opto-Electronics Corp","Taiwan"
"PHY751061151","San Miguel Corp","Philippines"
"MYL5218OO002","Sapura Energy Bhd","Malaysia"
"CNE000000C82","Shanghai Pharmaceuticals Holding Co Ltd","China"
"TW0001227007","Standard Foods Corp","Taiwan"
"HK0000083920","Sun Art Retail Group Ltd","China"
"KYG9222R1065","Uni-President China Holdings Ltd","China"
"PHY9297P1004","Universal Robina Corp","Philippines"
"KYG989221000","Zhen Ding Technology Holding Ltd","Cayman Islands"
"KYG9894K1085","Zhongsheng Group Holdings Ltd","China"
"JP3780100008","Park24 Co Ltd","Japan"
"AU000000TWE9","Treasury Wine Estates Ltd","Australia"
"AU000000FLT9","Flight Centre Travel Group Ltd","Australia"
"HK0000093390","HKT Trust and HKT Ltd","Hong Kong"
"HK0000063609","Swire Properties Ltd","Hong Kong"
"JP3220580009","Calbee Inc","Japan"
"JP3639650005","Pan Pacific International Holdings Corp.","Japan"
"TW0005880009","Taiwan Cooperative Financial Holding Co Ltd","Taiwan"
"KYG2953R1149","AAC Technologies Holdings Inc","China"
"JP3235900002","GungHo Online Entertainment Inc","Japan"
"JP3047550003","Nippon Prologis REIT Inc","Japan"
"AU000000SEK6","Seek Ltd","Australia"
"JP3955800002","Yokohama Rubber Co Ltd","Japan"
"KR7002790004","Amorepacific Group","Korea; Republic (S. Korea)"
"INE437A01024","Apollo Hospitals Enterprise Ltd","India"
"TH0264A10Z04","Bangkok Dusit Medical Services PCL","Thailand"
"ID1000110802","Bumi Serpong Damai Tbk PT","Indonesia"
"KYG202881093","Chailease Holding Company Ltd","Taiwan"
"KR7030000004","Cheil Worldwide Inc","Korea; Republic (S. Korea)"
"HK0000065737","China Overseas Grand Oceans Group Ltd","Hong Kong"
"INE361B01024","Divi's Laboratories Ltd","India"
"MYL5222OO004","FGV Holdings Bhd","Malaysia"
"ID1000105604","Global Mediacom Tbk PT","Indonesia"
"CNE000000CK1","Haitong Securities Co Ltd","China"
"KR7018880005","Hanon Systems","Korea; Republic (S. Korea)"
"TH0661010007","Home Product Center PCL","Thailand"
"MYL5225OO007","IHH Healthcare Bhd","Malaysia"
"ID1000106206","Media Nusantara Citra Tbk PT","Indonesia"
"TW0009914002","Merida Industry Co Ltd","Taiwan"
"PHY603051020","Metro Pacific Investments Corp","Philippines"
"TH0128B10Z09","Minor International PCL","Thailand"
"INE274J01014","Oil India Ltd","India"
"CNE100003F27","People's Insurance Company Group of China Ltd","China"
"TW0001789006","ScinoPharm Taiwan Ltd","Taiwan"
"KYG8087W1015","Shenzhou International Group Holdings Ltd","China"
"TH0429010Z01","CP Axtra PCL","Thailand"
"KYG8167W1380","Sino Biopharmaceutical Ltd","Hong Kong"
"TH0375010Z06","True Corporation PCL","Thailand"
"INE686F01025","United Breweries Ltd","India"
"INE049B01025","Wockhardt Ltd","India"
"CNE1000019Y0","New China Life Insurance Co Ltd","China"
"MYL6399OO009","Astro Malaysia Holdings Bhd","Malaysia"
"KR7000080002","HiteJinro Co Ltd","Korea; Republic (S. Korea)"
"HK0257001336","China Everbright Environment Group Ltd","Hong Kong"
"JP3045540006","United Urban Investment Corp","Japan"
"JP3569200003","Tokyu Fudosan Holdings Corp","Japan"
"JP3131090007","Iida Group Holdings Co Ltd","Japan"
"KYG5264Y1089","Kingsoft Corp Ltd","Hong Kong"
"AU000000BOQ8","Bank of Queensland Ltd","Australia"
"JP3206000006","Kakaku.com Inc","Japan"
"JP3749400002","Nippon Paint Holdings Co Ltd","Japan"
"AU000000REA9","REA Group Ltd","Australia"
"NZRYME0001S4","Ryman Healthcare Ltd","New Zealand"
"TW0003682001","Asia Pacific Telecom Co Ltd","Taiwan"
"BMG0957L1090","Beijing Enterprises Water Group Ltd","Hong Kong"
"KYG4387E1070","Health and Happiness (H&H) International Holdings Ltd","Hong Kong"
"CNE000000R36","Chongqing Changan Automobile Co Ltd","China"
"MYL7277OO006","Dialog Group Bhd","Malaysia"
"TW0001476000","Eclat Textile Co Ltd","Taiwan"
"KYG4232C1087","Haitian International Holdings Ltd","China"
"PHY444251177","JG Summit Holdings Inc","Philippines"
"INE774D01024","Mahindra and Mahindra Financial Services Ltd","India"
"ID1000113301","Matahari Department Store Tbk PT","Indonesia"
"INE239A01016","Nestle India Ltd","India"
"KR7181710005","NHN Corp","Korea; Republic (S. Korea)"
"CNE100001NV2","Sinopec Engineering Group Co Ltd","China"
"ID1000125305","Surya Citra Media Tbk PT","Indonesia"
"INE669C01036","Tech Mahindra Ltd","India"
"ID1000116908","Tower Bersama Infrastructure Tbk PT","Indonesia"
"INE528G01035","Yes Bank Ltd","India"
"MYL5249OO007","IOI Properties Group Bhd","Malaysia"
"CNE100001QS1","China Cinda Asset Management Co Ltd","China"
"HK1093012172","CSPC Pharmaceutical Group Ltd","China"
"KR7024950008","Samchuly Bicycle Co Ltd","Korea; Republic (S. Korea)"
"KR7020760005","Iljin Display Co Ltd","Korea; Republic (S. Korea)"
"KR7082210006","Optrontec Inc","Korea; Republic (S. Korea)"
"TW0003591004","Edison Opto Corp","Taiwan"
"TW0003031001","Bright Led Electronics Corp","Taiwan"
"TW0006223001","MPI Corp","Taiwan"
"TW0004126008","Pacific Hospital Supply Co Ltd","Taiwan"
"KYG234201138","Comtec Solar Systems Group Ltd","China"
"BMG2161E1113","China Shuifa Singyes Energy Holdings Ltd","Hong Kong"
"KYG407691040","Greatview Aseptic Packaging Co Ltd","China"
"ID1000104508","Tempo Scan Pacific Tbk PT","Indonesia"
"ID1000118508","Bank BTPN Tbk PT","Indonesia"
"INE571A01020","IPCA Laboratories Ltd","Unable to resolve all requested identifiers."
"TH0371010Z05","Supalai PCL","Thailand"
"JP3389660006","Japan Display Inc","Japan"
"JP3649800004","Nagoya Railroad Co Ltd","Japan"
"HK0669013440","Techtronic Industries Co Ltd","Hong Kong"
"NZXROE0001S2","Xero Ltd","New Zealand"
"INE406A01037","Aurobindo Pharma Ltd","India"
"TH0168A10Z01","Bumrungrad Hospital PCL","Thailand"
"CNE100000SL4","China Everbright Bank Co Ltd","China"
"KR7008770000","Hotel Shilla Co Ltd","Korea; Republic (S. Korea)"
"KR7034230003","Paradise Co Ltd","Korea; Republic (S. Korea)"
"CNE000000X38","Shanghai Fosun Pharmaceutical Group Co Ltd","China"
"US48020Q1076","Jones Lang LaSalle Inc","United States of America"
"US8330341012","Snap-On Inc","United States of America"
"US2166484020","Cooper Companies Inc","United States of America"
"JP3305960001","Colopl Inc","Japan"
"JP3183200009","Japan Exchange Group Inc","Japan"
"JP3435750009","M3 Inc","Japan"
"NZFCGE0001S7","Fonterra Co-Operative Group Ltd","New Zealand"
"LK0005N00005","Alliance Finance Company PLC","Sri Lanka"
"ID1000108905","Lippo Karawaci Tbk PT","Indonesia"
"PHY594811127","Megaworld Corp","Philippines"
"IE00BTN1Y115","Medtronic plc","Ireland; Republic of"
"US9314271084","Walgreens Boots Alliance Inc","United States of America"
"US26614N1028","Dupont De Nemours Inc","United States of America"
"CH0012214059","Holcim AG","Switzerland"
"GB00B5N0P849","John Wood Group PLC","United Kingdom"
"GB0002162385","Aviva plc","Unable to resolve all requested identifiers."
"US5007541064","Kraft Heinz Co","United States of America"
"NL00150001Q9","Stellantis NV","Netherlands"
"GG00B4L84979","Burford Capital Ltd","Unable to resolve all requested identifiers."
"JE00B4T3BW64","Glencore plc","Switzerland"
"HK0883013259","CNOOC Ltd","China"
"KYG217651051","CK Hutchison Holdings Ltd","Hong Kong"
"US7475251036","Qualcomm Inc","United States of America"
"IE00BDB6Q211","Willis Towers Watson PLC","United Kingdom"
"GB00B8W67662","Liberty Global PLC","United Kingdom"
"US2058871029","Conagra Brands Inc","United States of America"
"US8835561023","Thermo Fisher Scientific Inc","United States of America"
"IE00BGH1M568","Perrigo Company PLC","Ireland; Republic of"
"JP3336560002","Suntory Beverage & Food Ltd","Japan"
"GB00B1FW5029","Hochschild Mining PLC","United Kingdom"
"US0311621009","Amgen Inc","United States of America"
"US50540R4092","Laboratory Corporation of America Holdings","United States of America"
"INE155A01022","Tata Motors Ltd","India"
"US92939U1060","WEC Energy Group Inc","United States of America"
"IE00B8KQN827","Eaton Corporation PLC","Ireland; Republic of"
"US30161N1019","Exelon Corp","United States of America"
"US00206R1023","AT&T Inc","United States of America"
"US9621661043","Weyerhaeuser Co","United States of America"
"CH0311864901","VAT Group AG","Switzerland"
"CA5394811015","Loblaw Companies Ltd","Canada"
"US47233W1099","Jefferies Financial Group Inc","United States of America"
"FR0000120578","Sanofi SA","France"
"CA7063271034","Pembina Pipeline Corp","Canada"
"US2788651006","Ecolab Inc","United States of America"
"AEE000401019","Emirates Telecommunications Group Co PJSC","United Arab Emirates"
"KE0000000315","KCB Group Plc","Kenya"
"KW0EQ0601058","Mobile Telecommunications Company KSCP","Kuwait"
"LB0000033441","BLOM Bank SAL","Lebanon"
"JO1302311013","Arab Bank PLC","Jordan"
"MA0000012437","Bank of Africa","Morocco"
"NGACCESS0005","Access Holdings PLC","Nigeria"
"INE208A01029","Ashok Leyland Ltd","India"
"VN000000HAG6","Hoang Anh Gia Lai JSC","Vietnam"
"LB0000010415","Bank Audi SAL","Lebanon"
"PLLPP0000011","LPP SA","Poland"
"OM0000001418","Raysut Cement Company SAOG","Oman"
"TW0009910000","Feng Tay Enterprises Co Ltd","Taiwan"
"KW0EQ0601041","Agility Public Warehousing Co KSCP","Kuwait"
"KW0EQ0100010","National Bank of Kuwait SAKP","Kuwait"
"DE000SYM9999","Symrise AG","Germany"
"US78573M1045","Sabre Corp","United States of America"
"INE196A01026","Marico Ltd","India"
"TRAPETKM91E0","Petkim Petrokimya Holding AS","Turkey"
"US9297401088","Westinghouse Air Brake Technologies Corp","United States of America"
"PK0078001010","National Bank of Pakistan","Pakistan"
"LU0974299876","Globant SA","Luxembourg"
"MYL1619OO005","DRB-Hicom Bhd","Malaysia"
"NL0011279492","Flow Traders NV","Netherlands"
"LU1296758029","Corestate Capital Holding SA","Luxembourg"
"GB00B94QM994","Eurocastle Investment Ltd","United States of America"
"DK0060696300","Scandinavian Tobacco Group A/S","Denmark"
"NZKMDE0001S3","KMD Brands Ltd","New Zealand"
"GB00B63QSB39","Greggs PLC","United Kingdom"
"KR7161390000","Hankook Tire & Technology Co Ltd","Korea; Republic (S. Korea)"
"GB00BF5H9P87","Great Portland Estates PLC","United Kingdom"
"TW0002371002","Tatung Co","Taiwan"
"SE0000379190","Castellum AB","Sweden"
"LU0569974404","Aperam SA","Luxembourg"
"DE000EVNK013","Evonik Industries AG","Germany"
"NZAIRE0001S2","Air New Zealand Ltd","New Zealand"
